City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,moyynkum,44.2914,72.9469,271.84,100,100,3.46,KZ,1707371066
136,cavelossim,15.1726,73.9419,304.14,31,4,1.46,IN,1707371066
137,la palma,33.8464,-118.0467,283.91,92,100,6.69,US,1707371067
138,kabwe,-14.4469,28.4464,293.85,84,45,1.05,ZM,1707371067
139,cabedelo,-6.9811,-34.8339,301.52,82,85,3.83,BR,1707371067
140,collie,-33.3667,116.15,311.95,9,0,0.61,AU,1707371067
141,afega,-13.7973,-171.8531,302.04,83,75,4.63,WS,1707371067
142,castillos,-34.1667,-53.8333,293.51,92,39,3.13,UY,1707371067
143,olonkinbyen,70.9221,-8.7187,270.19,50,80,6.86,SJ,1707371067
144,igarka,67.4667,86.5833,254.13,98,95,2.39,RU,1707371068
145,kodinsk,58.6881,99.1844,266.73,91,97,0.57,RU,1707371068
146,minas de marcona,-15.2119,-75.1103,292.69,92,100,3.29,PE,1707371068
147,haiku-pauwela,20.9219,-156.3051,293.87,70,20,7.2,US,1707371068
148,bilibino,68.0546,166.4372,239.59,99,99,0.31,RU,1707370939
149,gisborne,-38.6533,178.0042,296.49,72,24,2.52,NZ,1707371068
150,phan thiet,10.9333,108.1,302.76,58,14,5.01,VN,1707371068
151,lompoc,34.6391,-120.4579,281.11,78,100,6.71,US,1707371068
152,navarre,30.4016,-86.8636,283.18,71,97,4.87,US,1707370933
153,georgetown,5.4112,100.3354,307.12,59,20,3.6,MY,1707370862
154,kanker,20.2719,81.4931,301.24,26,11,2.74,IN,1707371069
155,la ronge,55.1001,-105.2842,264.29,86,100,3.6,CA,1707371069
156,nuuk,64.1835,-51.7216,264.49,62,100,9.26,GL,1707371069
157,les sables-d'olonne,46.6667,-1.8333,286.59,94,100,7.62,FR,1707371069
158,zaozersk,69.4005,32.4476,248.27,99,70,2.2,RU,1707371069
159,margaret river,-33.95,115.0667,298.97,47,0,3.19,AU,1707371069
160,bredasdorp,-34.5322,20.0403,293.03,61,53,4.67,ZA,1707371069
161,lydenburg,-25.0978,30.4597,296.4,67,57,0.86,ZA,1707371070
162,atafu village,-8.5421,-172.5159,301.68,80,100,6.44,TK,1707371024
163,northam,51.0333,-4.2167,282.17,97,100,5.68,GB,1707371070
164,naze,28.3667,129.4833,285.66,76,100,6.33,JP,1707371070
165,cabeza del buey,38.7223,-5.2195,279.91,96,86,2.27,ES,1707371070
166,kimbe,-5.5502,150.1429,297.78,95,100,2.78,PG,1707371070
167,papao,-17.75,-149.55,301.97,90,98,16.89,PF,1707371070
168,segezha,63.7415,34.3222,247.69,100,96,2.9,RU,1707371070
169,talnakh,69.4865,88.3972,248.13,88,24,1.99,RU,1707371071
170,micheweni,-4.9667,39.8333,302.26,70,60,5.08,TZ,1707371071
171,ilulissat,69.2167,-51.1,261.16,72,100,4.12,GL,1707371071
172,floro,61.5996,5.0328,270.13,74,40,4.63,NO,1707371071
173,santo antonio,-6.3106,-35.4789,297.46,89,99,1.98,BR,1707371071
174,culebra,18.303,-65.301,295.95,98,98,1.34,PR,1707371071
